# ESTAR: Stopping Powers and Range Tables for Electrons
# 
# AIR, DRY (NEAR SEA LEVEL)                                              
#
# Kinetic  	Collision	Radiative	Total    	D. Effect	
# Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter	
# MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	         	
#
4.500E+02	2.595E+00	1.167E+01	1.427E+01	3.302E+00
4.606E+02	2.598E+00	1.195E+01	1.455E+01	3.339E+00
4.995E+02	2.606E+00	1.299E+01	1.560E+01	3.469E+00
5.000E+02	2.606E+00	1.301E+01	1.562E+01	3.471E+00
5.416E+02	2.615E+00	1.412E+01	1.674E+01	3.602E+00
5.873E+02	2.623E+00	1.535E+01	1.797E+01	3.736E+00
6.000E+02	2.625E+00	1.569E+01	1.832E+01	3.772E+00
6.368E+02	2.631E+00	1.668E+01	1.931E+01	3.872E+00
6.906E+02	2.639E+00	1.813E+01	2.076E+01	4.010E+00
7.000E+02	2.641E+00	1.838E+01	2.102E+01	4.034E+00
7.488E+02	2.647E+00	1.969E+01	2.234E+01	4.151E+00
8.000E+02	2.653E+00	2.107E+01	2.372E+01	4.267E+00
8.120E+02	2.655E+00	2.139E+01	2.405E+01	4.293E+00
8.805E+02	2.662E+00	2.324E+01	2.590E+01	4.437E+00
9.000E+02	2.664E+00	2.376E+01	2.643E+01	4.476E+00
9.548E+02	2.670E+00	2.524E+01	2.791E+01	4.583E+00
1.000E+03	2.674E+00	2.646E+01	2.913E+01	4.667E+00
1.035E+03	2.677E+00	2.741E+01	3.009E+01	4.730E+00
1.123E+03	2.684E+00	2.977E+01	3.245E+01	4.880E+00
1.217E+03	2.691E+00	3.233E+01	3.502E+01	5.030E+00
1.320E+03	2.698E+00	3.510E+01	3.780E+01	5.183E+00
1.431E+03	2.705E+00	3.811E+01	4.082E+01	5.336E+00
1.500E+03	2.709E+00	3.996E+01	4.267E+01	5.425E+00
1.552E+03	2.712E+00	4.138E+01	4.409E+01	5.490E+00
1.683E+03	2.719E+00	4.492E+01	4.764E+01	5.646E+00
1.825E+03	2.725E+00	4.876E+01	5.149E+01	5.802E+00
1.979E+03	2.732E+00	5.293E+01	5.566E+01	5.959E+00
2.000E+03	2.733E+00	5.349E+01	5.623E+01	5.979E+00
2.146E+03	2.738E+00	5.745E+01	6.019E+01	6.117E+00
2.327E+03	2.745E+00	6.235E+01	6.510E+01	6.275E+00
2.500E+03	2.751E+00	6.704E+01	6.979E+01	6.415E+00
2.524E+03	2.751E+00	6.767E+01	7.042E+01	6.434E+00
2.736E+03	2.758E+00	7.344E+01	7.620E+01	6.593E+00
2.967E+03	2.764E+00	7.970E+01	8.246E+01	6.752E+00
3.000E+03	2.765E+00	8.058E+01	8.335E+01	6.774E+00
3.218E+03	2.771E+00	8.648E+01	8.925E+01	6.912E+00
3.489E+03	2.777E+00	9.384E+01	9.662E+01	7.073E+00
